display_name,canonical_repo_or_product,url,category,provenance,decision,rationale,license_or_terms,lifecycle_note
LLM Council,karpathy/llm-council,https://github.com/karpathy/llm-council,multi-model evaluation pattern,explicitly user-supplied,HARVEST,"Reuse independent proposals, blinded peer review, and synthesis patterns; do not depend on unsupported unlicensed code.",No license found,Author describes it as unsupported/as-is; latest observed 2025-11-22.
CodeBurn,getagentseal/codeburn,https://github.com/getagentseal/codeburn,agent cost and usage analytics,recovered project mention,ADOPT NOW,"Run read-only to baseline cost, tokens, model/task performance, and shipped yield before enabling any optimizer changes.",MIT,Active desktop v0.9.16 line; latest observed 2026-07-17.
Anthropic Skills,anthropics/skills,https://github.com/anthropics/skills,official skill format / examples,recovered project mention,HARVEST,"Use as the canonical skill-shape reference and adopt only individually compatible, tested skills.",Mixed: many Apache-2.0; docx/pdf/pptx/xlsx have separate source-available terms,Active; latest observed 2026-07-17. License must be checked per directory.
Awesome Agent Skills,VoltAgent/awesome-agent-skills,https://github.com/VoltAgent/awesome-agent-skills,skill discovery catalog,recovered project mention,ADOPT NOW,"Use only as a read-only discovery source; every linked skill receives separate provenance, license, and executable review.",MIT for the index; linked projects vary,"Active catalog of 1,000+ skills; latest observed 2026-07-10."
Claude Skills collection,alirezarezvani/claude-skills,https://github.com/alirezarezvani/claude-skills,large skill pack,recovered project mention,PILOT,Review and trial only three to five named skills; never run the full global synchronization.,MIT at repository level,Highly active v2.9.0 line; latest observed 2026-07-17.
Awesome Claude Skills,travisvn/awesome-claude-skills,https://github.com/travisvn/awesome-claude-skills,skill discovery catalog,recovered project mention,WATCH,Keep as a secondary lead source; do not vendor or treat links as endorsements.,No repository license found; linked projects vary,Latest observed 2026-04-28; no releases.
Awesome OpenClaw Skills,VoltAgent/awesome-openclaw-skills,https://github.com/VoltAgent/awesome-openclaw-skills,skill discovery catalog,recovered user-supplied batch,DO NOT USE,Do not use as an install source; at most harvest capability categories because listed skills are not security-audited.,MIT for the index; linked projects vary,"Active index of roughly 5,300+ skills; latest observed 2026-07-16."
Awesome DESIGN.md,VoltAgent/awesome-design-md,https://github.com/VoltAgent/awesome-design-md,design-system pattern catalog,recovered user-supplied batch,HARVEST,Use its structure for a durable DESIGN.md while avoiding copied brand identities and assets.,MIT for repository content; referenced brand rights remain separate,Active; latest observed 2026-06-16.
Obsidian Skills,kepano/obsidian-skills,https://github.com/kepano/obsidian-skills,knowledge-vault skills,recovered user-supplied batch,ADOPT NOW,"Pin and enable Markdown, Bases, and Canvas skills selectively; keep CLI/Defuddle optional.",MIT,Latest observed 2026-06-08.
Google Workspace CLI,googleworkspace/cli,https://github.com/googleworkspace/cli,workspace automation CLI,recovered user-supplied batch,PILOT,Use a test identity and least-privilege read-only OAuth to prove value beyond existing connectors before permitting writes.,Apache-2.0,"Pre-1.0 and not an officially supported Google product; v0.22.5, latest observed 2026-03-31."
Firecrawl,firecrawl/firecrawl,https://github.com/firecrawl/firecrawl,web extraction / crawling,recovered user-supplied batch,PILOT,Test only after a recurring retrieval gap is measured; prefer hosted bounded use over self-hosting the multi-service stack.,AGPL-3.0 server; hosted/commercial capabilities have separate terms,Very active v2.11.0 line; latest observed 2026-07-17.
agent-browser,vercel-labs/agent-browser,https://github.com/vercel-labs/agent-browser,agent browser automation,recovered user-supplied batch,PILOT,"Compare two public/local flows against Playwright on reliability, tokens, evidence, and maintenance; keep Playwright for durable tests.",Apache-2.0,Fast-moving pre-1.0 v0.32.1; latest observed 2026-07-16.
RAG-Anything,HKUDS/RAG-Anything,https://github.com/HKUDS/RAG-Anything,multimodal RAG / knowledge graph,recovered user-supplied batch,WATCH,Revisit only after simpler Docling plus search fails a measured retrieval benchmark.,MIT,Active v1.3.1 line; latest observed 2026-07-09.
llmfit,AlexsJones/llmfit,https://github.com/AlexsJones/llmfit,local model selection,recovered user-supplied batch,WATCH,Pilot only after available hardware and a concrete privacy/offline task are documented.,MIT,Very active v1.1.3; latest observed 2026-07-17.
CLI-Anything,HKUDS/CLI-Anything,https://github.com/HKUDS/CLI-Anything,CLI generation harness,recovered user-supplied batch,PILOT,Apply the seven-phase method to one sandboxed reversible unsupported-app workflow; never import all community harnesses.,Apache-2.0,Active v0.4.0; latest observed 2026-07-09.
Docling,docling-project/docling,https://github.com/docling-project/docling,local document ingestion,recovered user-supplied batch,ADOPT NOW,"Use as the version-pinned sandboxed canonical local parser; store reviewed derived knowledge, not raw sensitive corpora, in shared repos.",MIT code; downloaded models/assets may have separate terms,Very active v2.113.0; latest observed 2026-07-17.
Unstructured,Unstructured-IO/unstructured,https://github.com/Unstructured-IO/unstructured,document ETL / ingestion,recovered user-supplied batch,WATCH,Retain as a fallback for a format or connector Docling cannot satisfy; do not run two equal canonical parsers.,Apache-2.0,Active v0.24.1; latest observed 2026-07-15.
Gemini CLI,google-gemini/gemini-cli,https://github.com/google-gemini/gemini-cli,coding agent CLI,recovered user-supplied batch,WATCH,"Keep catalogued for enterprise or migration needs, but do not select for consumer use after individual-tier serving ended; evaluate Antigravity CLI instead.",Apache-2.0,"Repo remained active at review, but Google officially ended individual-tier serving on 2026-06-18 and directs users to Antigravity CLI."
Obsidian Local REST API,coddingtonbear/obsidian-local-rest-api,https://github.com/coddingtonbear/obsidian-local-rest-api,knowledge-vault API bridge,explicitly user-supplied,PILOT,"Run read-first against a copied vault, loopback HTTPS only, with allowlisted endpoints and secrets outside repos/logs.",MIT,Active v4.1.7; latest observed 2026-07-15.
Langfuse,langfuse/langfuse,https://github.com/langfuse/langfuse,LLM observability,recovered user-supplied batch,WATCH,Revisit only when a production-like LLM workflow has measured trace requirements; do not deploy alongside Phoenix by default.,MIT core; enterprise tree has separate terms,Very active v3.221.1; latest observed 2026-07-17.
Phoenix,Arize-ai/phoenix,https://github.com/Arize-ai/phoenix,LLM observability and evaluation,recovered user-supplied batch,PILOT,Use synthetic data for the first bounded observability trial when a named LLM workflow needs traces or experiments.,Elastic License 2.0 with patent/IP notices,Very active v18.1.0; latest observed 2026-07-17.
Promptfoo,promptfoo/promptfoo,https://github.com/promptfoo/promptfoo,prompt / skill / agent evaluation,recovered user-supplied batch,ADOPT NOW,"Use pinned repo-native activation, regression, negative, injection, and budgeted provider tests as the toolkit promotion gate.",MIT,Active v0.121.19; latest observed 2026-07-17.
Letta V1 server,letta-ai/letta,https://github.com/letta-ai/letta,stateful agent memory server,recovered user-supplied batch,DO NOT USE,Do not build on the legacy server; watch the current SDK only if a product workflow truly needs stateful agents.,Apache-2.0 for this repository,"Legacy V1 direction; active development moved elsewhere, latest observed 2026-07-03."
Mem0,mem0ai/mem0,https://github.com/mem0ai/mem0,agent memory layer,recovered user-supplied batch,WATCH,"Harvest its memory-evaluation approach; require consent, deletion, isolation, and benchmark proof before any future pilot.",Apache-2.0,Highly active; latest observed 2026-07-17; managed benchmarks include proprietary optimizations.
Microsoft GraphRAG,microsoft/graphrag,https://github.com/microsoft/graphrag,graph retrieval pipeline,recovered user-supplied project mention,PILOT,Benchmark one answer-scored bounded corpus against simpler hybrid retrieval; adopt only if quality justifies indexing cost.,MIT,Active v3.1.0; latest observed 2026-07-17; README frames it as a demonstration rather than supported product.
OpenMetadata,open-metadata/OpenMetadata,https://github.com/open-metadata/OpenMetadata,data catalog / governance,recovered user-supplied project mention,HARVEST,"Reuse glossary, metric, ownership, lineage, quality, and connector metadata; deploy only when manual governance demonstrably fails.",Apache-2.0,Highly active v1.13.1; latest observed 2026-07-17; heavy local/production footprint.
Repomix,yamadashy/repomix,https://github.com/yamadashy/repomix,repository context packaging,recovered project mention,ADOPT NOW,Use local allowlisted exports with built-in checks plus Gitleaks on the final bundle; prohibit online upload for sensitive repos.,MIT,Active v1.16.1; latest observed 2026-07-15.
Gitleaks,gitleaks/gitleaks,https://github.com/gitleaks/gitleaks,secret scanning,recovered project mention,ADOPT NOW,Pin a checksum-verified version as the baseline local artifact/repo scanner while preparing a measured Betterleaks comparison.,MIT,"Feature-complete/security-fixes-only; v8.30.1, latest observed 2026-07-01."
actionlint,rhysd/actionlint,https://github.com/rhysd/actionlint,GitHub Actions static analysis,recovered project mention,ADOPT NOW,Enable conditionally wherever Actions YAML exists; do not add workflows merely to use the linter.,MIT,Active v1.7.12; latest observed 2026-04-19.
Playwright,microsoft/playwright,https://github.com/microsoft/playwright,browser test framework,recovered project mention,ADOPT NOW,Use as the canonical checked-in browser regression and evidence framework; keep credentials out of traces.,Apache-2.0,Highly active v1.61.1; latest observed 2026-07-17.
Beads,gastownhall/beads,https://github.com/gastownhall/beads,agent task graph / memory,recovered project mention,DO NOT USE,"Do not introduce a second task, claim, and memory authority into AccentOS; harvest atomic-claim and dependency-ready ideas only.",MIT,Active v1.1.0; latest observed 2026-07-17. steveyegge/beads redirects here.
Activepieces,activepieces/activepieces,https://github.com/activepieces/activepieces,business workflow automation,recovered user-supplied batch,PILOT,"Trial one low-risk intake-to-notification workflow in a sandbox and prefer one Zapier-style platform, not several.",MIT core; enterprise subtrees have separate terms,Active at 2026-07-17 snapshot.
n8n,n8n-io/n8n,https://github.com/n8n-io/n8n,business workflow automation,recovered user-supplied batch,WATCH,Keep as the fallback only when a required connector is materially stronger than Activepieces; do not vendor or run both by default.,Sustainable Use / fair-code terms with enterprise exceptions,Active at 2026-07-17 snapshot.
Temporal,temporalio/temporal,https://github.com/temporalio/temporal,durable workflow runtime,explicitly user-supplied,HARVEST,"Adopt workflow history, idempotency, retries, and compensation patterns now; deploy only after simpler queues fail on long workflows.",MIT,Active at 2026-07-17 snapshot.
Apache Airflow,apache/airflow,https://github.com/apache/airflow,batch workflow orchestration,recovered user-supplied batch,WATCH,Use only when recurring batch operations become a dedicated platform with an operator.,Apache-2.0,Mature and active at 2026-07-17 snapshot.
Dagster,dagster-io/dagster,https://github.com/dagster-io/dagster,data asset orchestration,recovered user-supplied project mention,PILOT,Trigger a trial after at least three production data sources create recurring ingestion and lineage pain.,Apache-2.0,Active at 2026-07-17 snapshot.
Prefect,PrefectHQ/prefect,https://github.com/PrefectHQ/prefect,Python workflow orchestration,recovered user-supplied project mention,WATCH,Use as Dagster's alternative only if actual Python flow ergonomics matter more than asset lineage.,Apache-2.0,Active at 2026-07-17 snapshot.
BullMQ,taskforcesh/bullmq,https://github.com/taskforcesh/bullmq,Node.js distributed queue,recovered user-supplied project mention,PILOT,Use only after a concrete short/medium asynchronous-job need appears and Redis overhead is justified.,MIT,Active at 2026-07-17 snapshot.
Trigger.dev,triggerdotdev/trigger.dev,https://github.com/triggerdotdev/trigger.dev,TypeScript durable task platform,recovered user-supplied project mention,PILOT,"Trial one non-critical long-running job with retries, observability, and human approval; compare with provider-native jobs.",Apache-2.0,Active at 2026-07-17 snapshot.
Windmill,windmill-labs/windmill,https://github.com/windmill-labs/windmill,internal tools / workflow platform,recovered user-supplied project mention,WATCH,Revisit only when a real internal-tools backlog emerges; avoid a hidden second application platform.,Mixed AGPL / Apache-2.0 / proprietary areas,Active at 2026-07-17 snapshot.
DBOS Python SDK,dbos-inc/dbos-transact-py,https://github.com/dbos-inc/dbos-transact-py,embedded durable workflow SDK,recovered project list; exact original link unresolved,HARVEST,Study Postgres-backed durable execution; do not force Python into a TypeScript system.,MIT,Active; latest observed 2026-07-16.
Backstage,backstage/backstage,https://github.com/backstage/backstage,developer portal / software catalog,recovered user-supplied project mention,HARVEST,"Reuse ownership, component, dependency, and lifecycle metadata concepts in the registry; do not deploy the portal now.",Apache-2.0,Active at 2026-07-17 snapshot.
Neo4j,neo4j/neo4j,https://github.com/neo4j/neo4j,graph database,recovered user-supplied project mention,HARVEST,Model entities and relationships in Postgres first; add a graph runtime only after measured traversal limits.,GPL-3.0 community / commercial enterprise terms,Active at 2026-07-17 snapshot.
Medusa,medusajs/medusa,https://github.com/medusajs/medusa,commerce platform / domain reference,recovered user-supplied batch,HARVEST,"Reuse product, order, customer, connector, and event-model ideas; keep AccentOS above commerce systems.",MIT,Active at 2026-07-17 snapshot.
Saleor,saleor/saleor,https://github.com/saleor/saleor,commerce platform / domain reference,recovered user-supplied batch,HARVEST,"Study GraphQL schemas, APIs, and event boundaries without adopting the runtime.",BSD-3-Clause,Active at 2026-07-17 snapshot.
ERPNext,frappe/erpnext,https://github.com/frappe/erpnext,ERP / domain reference,recovered user-supplied batch,HARVEST,"Use purchasing, inventory, accounting, and vendor terminology; avoid GPL code incorporation without review.",GPL-3.0,Active at 2026-07-17 snapshot.
Odoo,odoo/odoo,https://github.com/odoo/odoo,ERP / domain reference,recovered user-supplied batch,HARVEST,Study module boundaries and integration contracts; do not duplicate or fork ERP workflows.,LGPL-3.0 community; broader commercial ecosystem,Active 19.0 line at 2026-07-17 snapshot.
Apache OFBiz,apache/ofbiz-framework,https://github.com/apache/ofbiz-framework,enterprise automation / domain reference,recovered user-supplied project mention,HARVEST,"Mine canonical entities, service boundaries, and fixtures; no runtime adoption.",Apache-2.0,Active trunk at 2026-07-17 snapshot.
Twenty,twentyhq/twenty,https://github.com/twentyhq/twenty,CRM / domain reference,recovered user-supplied batch,HARVEST,Study relationship UX and extensible object modeling while keeping code and license boundaries explicit.,Primarily AGPL-3.0 with enterprise areas,Active at 2026-07-17 snapshot.
Frappe CRM,frappe/crm,https://github.com/frappe/crm,CRM / domain reference,recovered user-supplied batch,HARVEST,"Mine CRM vocabulary, timelines, and activity models; integrate with CRM systems rather than replace them.",AGPL-3.0,Active at 2026-07-17 snapshot.
Mautic,mautic/mautic,https://github.com/mautic/mautic,marketing automation / domain reference,recovered user-supplied batch,HARVEST,"Reuse event, touch, and campaign semantics; do not ship GPL code in proprietary products without review.",GPL-family,Active 7.x line at 2026-07-17 snapshot.
PostHog,PostHog/posthog,https://github.com/PostHog/posthog,product analytics / observability,recovered user-supplied batch,PILOT,"After defining a privacy-minimized event taxonomy, measure feature adoption and workflow completion without sensitive business payloads.",MIT core; enterprise code has separate terms,Active at 2026-07-17 snapshot.
Plausible Analytics,plausible/analytics,https://github.com/plausible/analytics,privacy web analytics,recovered user-supplied batch,WATCH,Prefer only when simple privacy-first traffic is the sole need; otherwise it duplicates the PostHog pilot.,AGPL-3.0,Active at 2026-07-17 snapshot.
Matomo,matomo-org/matomo,https://github.com/matomo-org/matomo,web analytics,recovered user-supplied batch,WATCH,Do not add while PostHog or Plausible cover the likely choices.,GPL-3.0,Active 5.x development line at 2026-07-17 snapshot.
Metabase,metabase/metabase,https://github.com/metabase/metabase,business intelligence,recovered user-supplied batch,WATCH,Use temporarily only if internal SQL exploration becomes a bottleneck; never substitute it for product UX.,AGPL core; commercial enterprise terms,Active at 2026-07-17 snapshot.
Apache Superset,apache/superset,https://github.com/apache/superset,business intelligence,recovered user-supplied batch,WATCH,"Re-evaluate for a dedicated analyst population or governed warehouse, not the current MVP.",Apache-2.0,Active at 2026-07-17 snapshot.
Redash,getredash/redash,https://github.com/getredash/redash,business intelligence,recovered user-supplied batch,WATCH,Keep catalogued; do not introduce a third BI runtime without a clear edge.,BSD-family; verify exact file before vendoring,Active at 2026-07-17 snapshot.
Grafana,grafana/grafana,https://github.com/grafana/grafana,engineering observability,recovered user-supplied batch,PILOT,Pilot only when multiple services/jobs create actionable engineering telemetry and alerts; keep separate from business UX.,AGPL-3.0,Active at 2026-07-17 snapshot.
Cal.com community repo,calcom/cal.diy,https://github.com/calcom/cal.diy,scheduling platform / domain reference,recovered user-supplied batch,DO NOT USE,Do not base production scheduling on a repository that explicitly warns it is personal/non-production; harvest concepts only.,MIT,Current destination of former calcom/cal.com community repo; active but carries personal/non-production warning.
Maybe Finance,maybe-finance/maybe,https://github.com/maybe-finance/maybe,personal finance app / domain reference,recovered user-supplied batch,DO NOT USE,Do not start new work on an archived upstream; retain only as an exact UI/domain reference.,AGPL-3.0,Archived and unmaintained at 2026-07-17 snapshot.
Awesome Selfhosted,awesome-selfhosted/awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,software discovery catalog,research-discovered portfolio comparison,HARVEST,"Use as a discovery source only; inclusion is never a security, license, or architecture approval.",CC-BY-SA-3.0 for catalog content; linked projects vary,Active discovery catalog at 2026-07-17 snapshot.
Godmother,Unresolved product/repository: Godmother,,unresolved identity,project-list; attribution unresolved,UNRESOLVED,"Quarantine until the original link or screenshot establishes identity, owner, license, and maintenance.",Unknown,"No defensible public coding-agent, skill, or orchestration mapping found."
JCode,1jehuang/jcode,https://github.com/1jehuang/jcode,coding-agent harness,project-list; attribution unresolved,PILOT,"Benchmark one isolated repository task on success, review defects, latency, and total model cost.",MIT,"High-confidence identity; active, latest observed 2026-07-17."
OpenSpec,Fission-AI/OpenSpec,https://github.com/Fission-AI/OpenSpec,artifact-guided spec workflow,project-list; attribution unresolved,ADOPT NOW,Use lightweight spec artifacts inside existing issue/branch/PR flow and forbid a separate backlog.,MIT,"Confirmed/high-confidence identity; active, latest observed 2026-07-17."
OpenSpace,HKUDS/OpenSpace,https://github.com/HKUDS/OpenSpace,cross-agent skill hub,project-list; attribution unresolved,PILOT,"Test as a read-only publication, validation, and discovery layer with Git remaining the editable source.",MIT,"Confirmed/high-confidence identity; active, latest observed 2026-07-17."
Graphify,Graphify-Labs/graphify,https://github.com/Graphify-Labs/graphify,knowledge graph skill / CLI,project-list; attribution unresolved,PILOT,Index one codebase and sanitized vault subset; retain only if retrieval accuracy and decision speed improve enough.,MIT,Active v8 branch; latest observed 2026-07-17. safishamsi/graphify redirects here.
CLI Printing Press,mvanhorn/cli-printing-press,https://github.com/mvanhorn/cli-printing-press,CLI / MCP generator,project-list; attribution unresolved,PILOT,"Generate one non-critical adapter and require deterministic tests, compact-output measures, attribution, and a pinned generator.",MIT,Confirmed; latest observed 2026-07-16.
Knowledge Work Plugins,anthropics/knowledge-work-plugins,https://github.com/anthropics/knowledge-work-plugins,role-oriented skill/plugin pack,project-list; attribution unresolved,HARVEST,Curate only role skills tied to real work; avoid installing the entire enterprise-process collection.,Apache-2.0,Confirmed and active; latest observed 2026-07-17.
